area_id,pop_density,age_adult_mean,female_adult_share,caraccess_adult_share,scaled_pop_density,scaled_age_adult_mean,scaled_female_adult_share,scaled_caraccess_adult_share
W02000110,11.7,55.22484718321493,0.5116117850953206,0.9251299826689775,-0.7645527622159225,0.980537580405966,-0.33314473817653756,0.9043978847589755
W02000111,26.1,55.82559531728083,0.521309192200557,0.9288300835654596,-0.7572326000531823,1.1171238592424946,0.4090608812328688,0.9549427234782456
W02000113,744.1,52.20845501321096,0.5319247378161629,0.8522516964836521,-0.3922411811054362,0.29472973740184033,1.2215376106820255,-0.09114827044893113
W02000114,29.1,57.344866250200226,0.5167932489451477,0.9470042194092827,-0.755707566269278,1.46254576154207,0.06342638071891757,1.2032085926499536
W02000116,38.1,54.08023635515472,0.5182996881667488,0.9197439684884293,-0.7511324649175654,0.720298513723165,0.17872396938747134,0.8308228051295689
W02000117,1549.8,34.04220893422441,0.48571914314858894,0.6429785787147229,0.017332058791776784,-3.8355535071987776,-2.314876983267355,-2.9499016617324365
W02000118,1132.6,46.280072463768114,0.5161356628982529,0.8110996916752312,-0.19474930608983834,-1.0531491256875496,0.01309704485067332,-0.6533008993120673
W02000120,43.8,56.008951005025125,0.5094868833525821,0.9186602870813397,-0.7482349007281474,1.1588116642848636,-0.49577728490149975,0.8160192893669334
W02000122,37.6,56.8769987699877,0.51437465665629,0.9364585240798389,-0.7513866372148827,1.3561712686604284,-0.12168421310993016,1.0591502319398223
W02000123,33.7,54.13184855233853,0.5104133290611983,0.9074014738865748,-0.7533691811339581,0.7320330786034633,-0.42487037096556884,0.6622194571405101
W02000124,112.9,55.86867501304121,0.5250655986742163,0.8639690650462644,-0.7131082892388865,1.12691847199892,0.6965630932448078,0.0689156090994814
W02000125,41.4,56.521889055472265,0.5139328689043698,0.9466434452184928,-0.7494549277552707,1.2754334157501017,-0.15549710231866865,1.1982802748019483
W02000126,28.8,54.79862764318723,0.5105026799942054,0.9514703751991888,-0.7558600696476685,0.8836321758967691,-0.41803176309259055,1.2642180435842676
W02000127,48.9,55.831266973668676,0.5161572052401747,0.9019338739862758,-0.74564234329551,1.1184133687672475,0.014745820348714795,0.5875298843764647
W02000128,34.9,55.05520334003402,0.5079444723197859,0.9351062050510118,-0.7527591676203964,0.9419673045221508,-0.613828030173627,1.0406770202298254
W02000129,31.4,54.96984357361716,0.5187880839539607,0.956668923493568,-0.754538373701618,0.9225598820166071,0.21610407458784398,1.3352322652136177
W02000130,1666.9,48.06243154435926,0.5209625869524347,0.7668734724572288,0.07685921082350534,-0.64791142195839,0.38253292792725885,-1.2574485104386572
W02000131,726.6,51.91626990641931,0.5343392299687825,0.8740894901144641,-0.40113721151154424,0.22829844247958658,1.40633439442502,0.20716461018184684
W02000132,45.0,54.809024979854954,0.5166580355601588,0.9345762126704643,-0.7476248872145856,0.8859961175300843,0.05307762119288552,1.033437115117323
W02000133,44.9,55.65111141792075,0.517910447761194,0.9467164179104478,-0.747675721674049,1.0774531467107997,0.1489328702649084,1.1992771105772337
W02000134,175.1,53.89361997226075,0.5225068750904617,0.9361702127659575,-0.6814892554526055,0.6778693560378849,0.5007273402678518,1.055211785592337
W02000135,809.5,51.639277578913116,0.5210240759579519,0.8255340793489319,-0.358995444616324,0.16532138248560577,0.38723908132800594,-0.45612146626680167
W02000136,116.9,57.69016133298069,0.5160233584959407,0.92850021364478,-0.7110749108603475,1.5410521567901692,0.004501658725708822,0.950436570158226
W02000137,1183.3,50.42638436482085,0.5183804844994071,0.8333050991021514,-0.1689762351418568,-0.11044238829419427,0.18490783807277275,-0.3499662691249644
W02000138,1532.8,50.21209487147647,0.5107290589451913,0.8403567735263702,0.008690200682986142,-0.15916331280473742,-0.4007055100319149,-0.2536376131113374
W02000139,97.9,56.69641040546432,0.5174311926605505,0.9435779816513762,-0.7207334581584076,1.3151126430688962,0.11225236124140317,1.1564048325006264
W02000140,72.8,51.685191347753744,0.5216188170183328,0.860774818401937,-0.7334929074837397,0.17576035096122644,0.432758481753082,0.025280939131265997
W02000141,215.8,57.10451710451711,0.528961522548614,0.8276789408357468,-0.6607996304509713,1.407899906534229,0.9947434790932864,-0.42682181175486467
W02000142,34.7,54.14154035231463,0.504424778761062,0.9253183682279301,-0.7528608365393235,0.7342366091995612,-0.8832130636712282,0.9069713058522633
W02000143,13.7,55.63150492264416,0.5068285280728376,0.9319314979406026,-0.763536073026653,1.0729954079697224,-0.6992384993891927,0.997309268007415
W02000144,32.8,55.581607169090645,0.5102230483271375,0.9385068153655515,-0.7538266912691295,1.0616506395156777,-0.43943379277025013,1.087130699387308
W02000145,22.1,55.63891960195862,0.5127811860940695,0.9320040899795501,-0.7592659784317213,1.0746812117182478,-0.2436428761637759,0.998300903912369
W02000146,25.0,55.04005548812207,0.5082437275985663,0.9603942652329749,-0.7577917791072805,0.9385232842952103,-0.5909240778966524,1.3861219038100974
W02000147,66.0,49.38462629414268,0.5273273273273273,0.9016516516516516,-0.7369496507272559,-0.3472968207146955,0.8696678930847376,0.5836746158890251
