unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100163,2021,W02000011,W06000002,0.0,0.593064071221208,1,60.0,1
202100164,2021,W02000015,W06000002,0.0,1.01099061289707,1,51.0,1
202100165,2021,W02000022,W06000002,0.0,1.33427340624829,1,31.0,1
202100166,2021,W02000022,W06000002,0.0,0.983066030340744,2,52.0,1
202100167,2021,W02000013,W06000002,0.0,0.299302040146858,2,64.0,1
202100168,2021,W02000026,W06000002,0.0,0.269835293278422,1,84.0,1
202100169,2021,W02000011,W06000002,0.0,0.624618242170466,2,73.0,1
202100170,2021,W02000012,W06000002,0.0,0.47967724536999,1,73.0,1
202100171,2021,W02000011,W06000002,0.0,1.28979029606063,1,39.0,1
202100172,2021,W02000016,W06000002,0.0,0.270224366486779,2,55.0,0
202100173,2021,W02000017,W06000002,0.0,0.312309121085233,2,73.0,0
202100174,2021,W02000015,W06000002,0.0,0.45476155652065,2,37.0,1
202100175,2021,W02000026,W06000002,0.0,0.758424786741251,2,78.0,1
202100176,2021,W02000015,W06000002,0.0,0.299302040146858,2,62.0,1
202100177,2021,W02000020,W06000002,0.0,0.674063930969844,2,65.0,0
202100178,2021,W02000017,W06000002,0.0,0.743410041041366,2,48.0,1
202100179,2021,W02000017,W06000002,0.0,0.490382814738229,2,32.0,1
202100180,2021,W02000020,W06000002,0.0,1.19720816058743,2,60.0,1
202100181,2021,W02000025,W06000002,0.0,0.674063930969844,2,68.0,1
202100182,2021,W02000021,W06000002,0.0,0.346702322808072,1,66.0,0
202100183,2021,W02000019,W06000002,0.0,1.47863903532639,2,19.0,0
202100184,2021,W02000013,W06000002,0.0,0.505495306448534,1,51.0,1
202100185,2021,W02000011,W06000002,0.0,0.337031965484922,2,67.0,1
202100186,2021,W02000012,W06000002,0.0,0.379212393370625,2,81.0,0
202100187,2021,W02000011,W06000002,0.0,2.20175568768,1,25.0,1
202100188,2021,W02000014,W06000002,0.0,0.45476155652065,2,36.0,1
202100189,2021,W02000010,W06000002,0.0,0.337031965484922,2,66.0,1
202100190,2021,W02000020,W06000002,0.0,0.758424786741251,2,78.0,1
202100191,2021,W02000020,W06000002,0.0,0.296532035610604,1,62.0,0
202100192,2021,W02000015,W06000002,0.0,0.379212393370625,2,83.0,1
202100193,2021,W02000021,W06000002,0.0,0.980765629476458,2,30.0,1
202100194,2021,W02000019,W06000002,0.0,1.23015067132768,1,46.0,1
202100195,2021,W02000024,W06000002,0.0,0.743410041041366,2,45.0,1
202100196,2021,W02000019,W06000002,0.0,2.80614518625464,1,17.0,1
202100197,2021,W02000025,W06000002,0.0,0.743410041041366,2,47.0,1
202100198,2021,W02000020,W06000002,0.0,0.539670586556845,1,78.0,1
202100199,2021,W02000019,W06000002,0.0,0.47967724536999,1,70.0,0
202100200,2021,W02000026,W06000002,0.0,0.269835293278422,1,81.0,0
202100201,2021,W02000013,W06000002,0.0,1.33506393532799,2,28.0,1
202100202,2021,W02000022,W06000002,0.0,0.269835293278422,1,86.0,1
202100203,2021,W02000025,W06000002,0.0,0.540448732973558,2,59.0,1
202100204,2021,W02000011,W06000002,0.0,0.539670586556845,1,77.0,1
202100205,2021,W02000025,W06000002,0.0,0.743410041041366,2,45.0,1
202100206,2021,W02000015,W06000002,0.0,1.33506393532799,2,27.0,1
202100207,2021,W02000023,W06000002,0.0,0.379212393370625,2,88.0,1
202100208,2021,W02000010,W06000002,0.0,0.312309121085233,2,73.0,1
202100209,2021,W02000017,W06000002,0.0,0.540448732973558,2,57.0,1
202100210,2021,W02000025,W06000002,0.0,0.390814455510606,1,57.0,0
202100211,2021,W02000011,W06000002,0.0,0.719515868054985,1,72.0,1
202100212,2021,W02000013,W06000002,0.0,0.674063930969844,2,69.0,0
