"area_id","pop_density","age_adult_mean","female_adult_share","caraccess_adult_share"
"W02000093","107.7","50.89300635785649","0.5115370301451433","0.9050986229996278"
"W02000094","665.6","50.05319440636139","0.5120079579366207","0.8223674861446639"
"W02000095","53.2","54.84713261648746","0.5159069767441861","0.9560930232558139"
"W02000096","48.7","53.38605656638443","0.5204101006265426","0.9077273590279096"
"W02000097","17.6","55.68271334792122","0.49623099527277376","0.9543886546569567"
"W02000098","52.0","54.768301478543094","0.5093167701863354","0.9527573875399963"
"W02000099","170.2","52.32826274848747","0.5169082125603864","0.8206986250464511"
"W02000100","12.2","55.07494529540482","0.5050524308865586","0.9090562440419447"
"W02000101","43.3","55.20618766537757","0.5063775510204082","0.9572704081632653"
"W02000102","23.4","54.520611826151836","0.5056785370548604","0.9507218479307026"
"W02000103","30.5","55.184251660805","0.5075025693730729","0.9642343268242549"
"W02000104","267.3","52.87357169185404","0.5022222222222222","0.8208695652173913"
"W02000105","1324.4","47.112282422162295","0.5261261261261261","0.7943371943371943"
"W02000106","17.6","55.66228761604484","0.503013698630137","0.9278538812785389"
"W02000107","18.6","56.6168468981218","0.5067712045616536","0.9333570919458304"
"W02000108","16.4","56.93972347366786","0.5127910790423089","0.9340767464742539"
"W02000109","441.3","55.17693079237713","0.5043906618119511","0.8387234953951596"
"W02000110","11.7","55.22484718321493","0.5116117850953206","0.9251299826689775"
"W02000111","26.1","55.82559531728083","0.521309192200557","0.9288300835654596"
"W02000113","744.1","52.20845501321096","0.5319247378161629","0.8522516964836521"
"W02000114","29.1","57.344866250200226","0.5167932489451477","0.9470042194092827"
"W02000116","38.1","54.08023635515472","0.5182996881667488","0.9197439684884293"
"W02000117","1549.8","34.04220893422441","0.48571914314858894","0.6429785787147229"
"W02000118","1132.6","46.280072463768114","0.5161356628982529","0.8110996916752312"
"W02000120","43.8","56.008951005025125","0.5094868833525821","0.9186602870813397"
"W02000122","37.6","56.8769987699877","0.51437465665629","0.9364585240798389"
"W02000123","33.7","54.13184855233853","0.5104133290611983","0.9074014738865748"
"W02000124","112.9","55.86867501304121","0.5250655986742163","0.8639690650462644"
"W02000125","41.4","56.521889055472265","0.5139328689043698","0.9466434452184928"
"W02000126","28.8","54.79862764318723","0.5105026799942054","0.9514703751991888"
"W02000127","48.9","55.831266973668676","0.5161572052401747","0.9019338739862758"
"W02000128","34.9","55.05520334003402","0.5079444723197859","0.9351062050510118"
"W02000129","31.4","54.96984357361716","0.5187880839539607","0.956668923493568"
"W02000130","1666.9","48.06243154435926","0.5209625869524347","0.7668734724572288"
"W02000131","726.6","51.91626990641931","0.5343392299687825","0.8740894901144641"
