area_id,msoa_name,la_code,la_name,raw_population_density,raw_car_access_hhshare,raw_share_work_from_home,raw_share_students,raw_share_routine_semiroutine,mean_age_adult,raw_prob_female,scaled_population_density,scaled_car_access_hhshare,scaled_share_work_from_home,scaled_share_students,scaled_share_routine_semiroutine,scaled_mean_age_adult,scaled_prob_female
W02000185,Swansea 018,W06000011,Swansea,223.1,0.8887375113533151,0.30349840981372106,0.0544392523364486,0.1939252336448598,54.8836739276892,0.5139220365950676,-0.6570887149101378,0.9261058860412872,0.5853238861897974,-0.224261862179649,-0.9550627233680947,0.9029683250586119,0.22425024998986492
W02000186,Swansea 019,W06000011,Swansea,4887.4,0.5708984892658362,0.11834319526627218,0.09282371294851795,0.38502340093603743,44.94650521152667,0.5238203010071291,1.7139829778446973,-2.6836511505875666,-1.507995747665779,0.2925932982872784,1.5991595697883794,-1.3563493825558195,0.9799452543957637
W02000188,Swansea 021,W06000011,Swansea,1345.9,0.685243328100471,0.2347623213764946,0.14575563180665374,0.30986125615396093,45.49722870478413,0.49170381376919264,-0.0863194040542474,-1.3850154957373835,-0.19178954176178878,1.0053331669476147,0.594540694970434,-1.2311367212982827,-1.4720269252118112
W02000189,Swansea 022,W06000011,Swansea,2861.2,0.7703088502465611,0.32043204320432045,0.07178145887823308,0.1890438825922697,53.82779080999034,0.518015285696955,0.6839751601957796,-0.4189104998038041,0.7767714094782657,0.00925474329236385,-1.0203069685431456,0.6629024176429414,0.5367543183107676
W02000191,Swansea 024,W06000011,Swansea,5480.3,0.74822695035461,0.3557028445180889,0.29718564420345983,0.13103537309579139,43.188819095477385,0.4793849658314351,2.015380488003637,-0.6696987541647368,1.1755344746848886,3.0443714159897324,-1.7956499781017952,-1.755977433547767,-2.412524315365943
W02000192,Swansea 025,W06000011,Swansea,4250.6,0.4917025199754149,0.26833527357392317,0.2566276570336757,0.22868402197277288,42.0659868729489,0.4247040771591407,1.3902691399812928,-3.5830945403298697,0.18777805601365422,2.498249244866582,-0.4904759966153187,-2.0112649098399413,-6.5872030959989765
W02000193,Swansea 026,W06000011,Swansea,8393.9,0.6297343131712831,0.2816254416961131,0.4897205465960852,0.13898805859903976,37.187432286023835,0.4588862424861064,3.4964932989314264,-2.0154417282401464,0.3380334508477662,5.636896002367131,-1.689354209331243,-3.1204545674409125,-3.977524216751416
W02000194,Swansea 027,W06000011,Swansea,1668.1,0.8537794299876085,0.3836424957841484,0.2508349446299877,0.10493935665319037,49.86858760826116,0.5265412268624752,0.07746922433706695,0.5290804378501829,1.4914133479927316,2.420249104934812,-2.144449905935256,-0.23726322885167184,1.187677639654977
W02000195,Swansea 028,W06000011,Swansea,552.3,0.8869927948426242,0.3700854700854701,0.06304657311368721,0.10982306284319707,59.00208530805687,0.5231513476157568,-0.4897416743563801,0.9062908153176683,1.3381409265754278,-0.108362404675975,-2.0791741819418674,1.8393315915664519,0.9288731962049939
W02000196,Swansea 029,W06000011,Swansea,2529.1,0.8009305417082087,0.31929522990975506,0.06778384485031068,0.19374882319713801,56.15439599714082,0.526122969098439,0.5151539203175813,-0.07113424029613209,0.7639188760221695,-0.04457400425129689,-0.9574206292795111,1.191880082015998,1.1557452432592064
W02000197,Swansea 030,W06000011,Swansea,48.6,0.9164733178654292,0.4255573248407643,0.05604606525911708,0.12994241842610366,58.685620557681794,0.5125744540039708,-0.7457948466739006,1.2411066120884626,1.9652921681402964,-0.2026257746133952,-1.8102584341759562,1.7673800694799575,0.1213674222816768
W02000198,Swansea 031,W06000011,Swansea,1644.9,0.8661742983751847,0.4100502512562814,0.06805778491171749,0.11958266452648475,58.09120961682945,0.5212238147739802,0.06567562974154098,0.6698512692172238,1.7899729816006027,-0.04088534138775734,-1.9487271318987467,1.6322346168236936,0.7817133630544543
W02000200,Neath Port Talbot 002,W06000012,Neath Port Talbot,116.1,0.8282153983088563,0.17353787152444872,0.049215406562054205,0.3162149310508797,52.48167659184608,0.508874585527599,-0.7114815865360553,0.2387449635245021,-0.8839782184919828,-0.2946020884828456,0.6794640529242069,0.356849478783376,-0.1611035249629785
W02000201,Neath Port Talbot 003,W06000012,Neath Port Talbot,129.4,0.7936170212765957,0.16086159486709442,0.04282753856781027,0.350218742804513,52.70206162713367,0.5119227857683573,-0.7047206034274132,-0.15419525548286261,-1.0272931063598842,-0.38061612865847766,1.1339597462350026,0.40695628756771657,0.071615020276422
W02000202,Neath Port Talbot 004,W06000012,Neath Port Talbot,241.5,0.8484222389181066,0.2572192513368984,0.057499269077088,0.257967059740766,51.23977272727273,0.5090733900754778,-0.6477351743688584,0.46823781999699476,0.062103023549602045,-0.1830580672507876,-0.0990782718826436,0.07448983766933079,-0.14592555057970072
W02000204,Neath Port Talbot 006,W06000012,Neath Port Talbot,621.0,0.8779993240959784,0.2591973244147157,0.05709740144953156,0.21088916386777443,53.97936210131332,0.5183277794607695,-0.4548184007049732,0.8041502911674105,0.0844666346480895,-0.18846930278243498,-0.7283224601352313,0.6973637126288074,0.560612033804288
W02000205,Neath Port Talbot 007,W06000012,Neath Port Talbot,716.7,0.8039065492148603,0.21941830624465355,0.05939987752602572,0.2845478669116146,53.71574601926479,0.5204188481675392,-0.4061698229984282,-0.03733516815061297,-0.36526522926087734,-0.15746595864234664,0.25620137945187427,0.637427879878432,0.7202572109577574
W02000206,Neath Port Talbot 008,W06000012,Neath Port Talbot,3119.2,0.6181491464510332,0.18849449204406366,0.04956584659913169,0.3352026049204052,52.38749350424389,0.5034827377347062,0.8151280656115436,-2.147016626798167,-0.7148823198624914,-0.2898833367090935,0.9332537181009994,0.33543598328426744,-0.5727506857158289
W02000207,Neath Port Talbot 009,W06000012,Neath Port Talbot,484.9,0.8765323992994746,0.2510656436487639,0.04745838956365272,0.255510571300045,53.691468470434216,0.518955991617451,-0.5240041000347618,0.7874901527375626,-0.00746816203164711,-0.31826070679273466,-0.13191175023102764,0.631908128977838,0.6085736530082358
W02000208,Neath Port Talbot 010,W06000012,Neath Port Talbot,788.8,0.8369589101296419,0.258020873598763,0.23337740838685303,0.2230827351718927,43.505219399538106,0.4746735881705207,-0.3695181777252632,0.3380466575475901,0.07116596905615134,2.1851795598005648,-0.5653429187840263,-1.6840405639949438,-2.7722201583951622
W02000210,Neath Port Talbot 012,W06000012,Neath Port Talbot,2252.7,0.7564341663558374,0.18998410174880764,0.06299372088312741,0.3182094389305246,49.00912879539591,0.5103526366871562,0.3746474743605381,-0.5764878717595876,-0.6980411563589741,-0.10907407152426284,0.7061226889659793,-0.43267004646094376,-0.04825991612053391
W02000211,Neath Port Talbot 013,W06000012,Neath Port Talbot,847.7,0.7119431538671768,0.17478510028653296,0.0476569971310169,0.34523430028689833,49.65578589108911,0.5049872122762148,-0.33957668110127676,-1.0817805961799465,-0.8698773547276989,-0.315586412443847,1.0673375782785228,-0.2856458921182803,-0.4578897517233491
W02000212,Neath Port Talbot 014,W06000012,Neath Port Talbot,179.2,0.8137535816618912,0.2073170731707317,0.0524749373433584,0.3041979949874687,50.77052438465066,0.5109215458187928,-0.679405042614603,0.07449941538205102,-0.5020788148216094,-0.2507117933437721,0.5188454220723897,-0.03219860851055569,-0.004825858305837088
W02000213,Neath Port Talbot 015,W06000012,Neath Port Talbot,748.4,0.8629441624365483,0.23756906077348067,0.05256637168141593,0.25610619469026547,52.69583048530417,0.5157754406754554,-0.39005529934850686,0.6331660130860514,-0.16005723165004082,-0.24948060997645766,-0.12395063494043236,0.40553957326244827,0.365750632924461
