area_id,msoa_name,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000023,Gwynedd 014,2025,0.1326452778873576,0.001243117203470237,0.07317309881036801,0.20740785718141144,0.13423475837104343
W02000024,Gwynedd 015,2021,0.12602980624183058,3.5506359242280176e-4,0.08959937032892405,0.16236390106247595,0.0727645307335519
W02000024,Gwynedd 015,2023,0.1492122307439746,4.7373952681333106e-4,0.10580146898089031,0.1926465601857154,0.0868450912048251
W02000024,Gwynedd 015,2025,0.14723231202378115,4.240563718867292e-4,0.10627885282503441,0.18881519165494437,0.08253633882990996
W02000025,Gwynedd 016,2021,0.12694177561805842,4.4062734739765147e-4,0.08876860220906073,0.16989753677749442,0.08112893456843369
W02000025,Gwynedd 016,2023,0.1503013411468236,5.527557690692019e-4,0.11035331127265083,0.2014489338331362,0.09109562256048537
W02000025,Gwynedd 016,2025,0.14818809694985596,4.92763283481854e-4,0.11154275593530304,0.19602214704494664,0.0844793911096436
W02000026,Gwynedd 017,2021,0.12193655035092353,4.0622694016077614e-4,0.08347054820910908,0.1628759746150834,0.07940542640597432
W02000026,Gwynedd 017,2023,0.14509038696093546,5.186450346340656e-4,0.10457825019580425,0.18732932264241875,0.0827510724466145
W02000026,Gwynedd 017,2025,0.14303296651293562,4.799870158027058e-4,0.09977840891122348,0.18444276116926117,0.08466435225803769
W02000027,Conwy 001,2021,0.13745121764132318,0.0012915277149078623,0.08060115379236868,0.21747701110635148,0.1368758573139828
W02000027,Conwy 001,2023,0.16330611129576503,0.001596729466472703,0.09981299607558847,0.25319991734362646,0.153386921268038
W02000027,Conwy 001,2025,0.16064906080973843,0.0015104062896421561,0.09822974707198388,0.24917287457187148,0.15094312749988759
W02000028,Conwy 002,2021,0.12451208447742582,5.971423561740925e-4,0.084013970466052,0.18005445381301563,0.09604048334696363
W02000028,Conwy 002,2023,0.14805722228064722,7.802774127445982e-4,0.10116587537199931,0.2121749268990472,0.1110090515270479
W02000028,Conwy 002,2025,0.14533413182186894,6.948672293595203e-4,0.1025126736401179,0.20779259865909727,0.10527992501897937
W02000029,Conwy 003,2021,0.11148437714712882,5.071033115921002e-4,0.07536100784235392,0.15684960981201615,0.08148860196966223
W02000029,Conwy 003,2023,0.13128822269667206,5.906500943865066e-4,0.0908184925175616,0.18422790819656432,0.09340941567900271
W02000029,Conwy 003,2025,0.12873000102877669,5.595746844844464e-4,0.08973282593392279,0.1781555546746071,0.0884227287406843
W02000030,Conwy 004,2021,0.12372449087551199,6.600820152207441e-4,0.0804063257531638,0.18625944996239763,0.10585312420923383
W02000030,Conwy 004,2023,0.14684311033988642,8.551560224951164e-4,0.09952468408546805,0.21054559716974228,0.11102091308427423
W02000030,Conwy 004,2025,0.14454615237347865,7.792725765719927e-4,0.10048588528112373,0.202868008235216,0.10238212295409227
W02000031,Conwy 005,2021,0.13281875807975155,7.069126749257861e-4,0.08817675133115524,0.18574776939645254,0.0975710180652973
W02000031,Conwy 005,2023,0.15797863558117212,9.355879863897984e-4,0.10784011409811818,0.21440674182016206,0.10656662772204388
W02000031,Conwy 005,2025,0.1541925188251649,8.909556345328216e-4,0.1045189865340217,0.20922059637407137,0.10470160984004967
W02000032,Conwy 006,2021,0.11271190802711407,4.975939161511041e-4,0.07412843290414539,0.16202743551443755,0.08789900261029215
W02000032,Conwy 006,2023,0.13377609044086483,6.905820967351647e-4,0.08789371864622825,0.1965185890884974,0.10862487044226915
W02000032,Conwy 006,2025,0.13156664783428743,6.114106296920503e-4,0.08606204722669633,0.18914632959027028,0.10308428236357395
W02000033,Conwy 007,2021,0.13882658430988215,7.160239002163224e-4,0.09395214158474127,0.19963089036357723,0.10567874877883596
W02000033,Conwy 007,2023,0.16553235697641733,8.992293661280282e-4,0.11594546577214085,0.23117049854727922,0.11522503277513838
W02000033,Conwy 007,2025,0.16179844329441145,8.27349085163749e-4,0.1128711051366614,0.22636490997026332,0.11349380483360191
W02000034,Conwy 008,2021,0.11924355527093917,4.756726707130629e-4,0.08099899655997254,0.16907065802302254,0.08807166146305
W02000034,Conwy 008,2023,0.14063843053449862,6.576986221032526e-4,0.09541039707459707,0.1933187283086969,0.09790833123409982
W02000034,Conwy 008,2025,0.13766132444429421,5.779451258715203e-4,0.09638669476742856,0.18977083491031757,0.09338414014288901
W02000035,Conwy 009,2021,0.12258845533991351,4.690442056014276e-4,0.08669066327430226,0.16443761560784984,0.07774695233354757
W02000035,Conwy 009,2023,0.14596344103034747,6.122316303952812e-4,0.10089944099012191,0.19703110740837018,0.09613166641824827
W02000035,Conwy 009,2025,0.14393071457082182,5.762149363498064e-4,0.10114040249526413,0.19197904805626181,0.09083864556099769
W02000036,Conwy 010,2021,0.11565894726736985,4.127161744775503e-4,0.07761015392629221,0.15890985600468321,0.081299702078391
W02000036,Conwy 010,2023,0.13813087147038158,5.091269585694358e-4,0.09603083208654264,0.18716037134818359,0.09112953926164094
W02000036,Conwy 010,2025,0.13676299523841953,4.8576809156570156e-4,0.09327694541209744,0.18125313353582223,0.08797618812372479
W02000037,Conwy 011,2021,0.11710973816569825,4.635514387231412e-4,0.07866687742918102,0.16714173947638866,0.08847486204720764
