method,component,area_id,area_inla_id,effect,lower,upper
MRP Shallow,Structured,W02000090,84,0.011515123527322672,-0.362657550302454,0.3947534315573629
MRP Shallow,Structured,W02000091,85,0.008235464180606101,-0.47987718616140224,0.5022579655547305
MRP Shallow,Structured,W02000092,86,-0.004334870909599747,-0.48390823365805335,0.4680969215945323
MRP Shallow,Structured,W02000093,87,0.029147432495030427,-0.3526368515043576,0.43500342877645476
MRP Shallow,Structured,W02000094,88,0.02320951076295677,-0.4126160531595565,0.47747768833822946
MRP Shallow,Structured,W02000095,89,0.017927008983126762,-0.5446478941402193,0.5947170351778078
MRP Shallow,Structured,W02000096,90,0.08147342117160428,-0.3208717161306066,0.5571337011317462
MRP Shallow,Structured,W02000097,91,0.10850297909957099,-0.21527908493471087,0.5167131026618289
MRP Shallow,Structured,W02000098,92,0.04010742418953941,-0.4114242631153933,0.49842283047226227
MRP Shallow,Structured,W02000099,93,-0.010977392760641249,-0.6224910375652286,0.5540345456161021
MRP Shallow,Structured,W02000100,94,0.15628635372712651,-0.1421560044151204,0.5642191416517849
MRP Shallow,Structured,W02000101,95,0.07409863406539578,-0.3689865472680697,0.5522839928868148
MRP Shallow,Structured,W02000102,96,0.14189734720385674,-0.18416384583872425,0.5601111093801976
MRP Shallow,Structured,W02000103,97,0.17739815349659394,-0.1759917602978322,0.6454858515889358
MRP Shallow,Structured,W02000104,98,0.20736834122463166,-0.2214476754939362,0.7741709476229477
MRP Shallow,Structured,W02000105,99,0.19988828312343024,-0.2815282538367742,0.8147763996213887
MRP Shallow,Structured,W02000106,100,0.18527072157712512,-0.12248547320757683,0.6067742718216673
MRP Shallow,Structured,W02000107,101,0.20680966893023897,-0.12481147806390991,0.6781663124418637
MRP Shallow,Structured,W02000108,102,0.2355165343561508,-0.10727197920622977,0.723720925873246
MRP Shallow,Structured,W02000109,103,0.3512783698603486,-0.11936346729484043,1.0273747409827285
MRP Shallow,Structured,W02000110,104,0.16300769359102305,-0.1267674882056233,0.5614837693724457
MRP Shallow,Structured,W02000111,105,0.0613918256114245,-0.2705421085534644,0.44000942276834487
MRP Shallow,Structured,W02000113,106,0.18583551683905639,-0.3869968052180933,0.9105005915738958
MRP Shallow,Structured,W02000114,107,0.009185898877596124,-0.3070330955066609,0.34152725411703694
MRP Shallow,Structured,W02000116,108,0.17472554827442313,-0.24091825950909787,0.7135635447082409
MRP Shallow,Structured,W02000117,109,0.20203358162122795,-0.23853549160240767,0.7816255085513819
MRP Shallow,Structured,W02000118,110,0.2755303874153121,-0.21353033786625708,0.9582943453929358
MRP Shallow,Structured,W02000120,111,0.17145593965053238,-0.244851176405759,0.7004159074532244
MRP Shallow,Structured,W02000122,112,0.17857739448061818,-0.21694590045998224,0.685769471801088
