domain_id,mrp_mean,mrp_lower,mrp_upper,mrp_ci_width
W02000050,14.365865392870926,13.361998066479599,15.383073005093284,2.021074938613685
W02000051,14.376317202407776,13.358319424481966,15.423638396489642,2.0653189720076757
W02000052,14.417446801985644,13.430519150075598,15.451830298356859,2.02131114828126
W02000053,14.524567264946043,13.45198580785721,15.589829546290497,2.137843738433288
W02000054,14.612774600378977,13.537316685174465,15.711768184946454,2.1744514997719886
W02000055,14.159123124526277,13.252301971698087,15.079462423011778,1.8271604513136914
W02000056,14.584610717451186,13.505177317363774,15.666570837565544,2.16139352020177
W02000057,14.580705624285137,13.497509417320206,15.653555770438409,2.156046353118203
W02000058,14.421925959799104,13.401042252406754,15.458534322433021,2.0574920700262673
W02000059,14.517394942272917,13.48811195994105,15.567081258848157,2.078969298907108
W02000060,14.159954358728891,13.253244212889907,15.080471740659544,1.8272275277696366
W02000061,14.142953111215553,13.228234617491939,15.073762579415208,1.8455279619232687
W02000062,14.12072831887077,13.220221830892747,15.042373850927286,1.8221520200345385
W02000063,14.534472240012978,13.478128295563987,15.600356357317658,2.1222280617536704
W02000064,14.229615527616277,13.301913880895095,15.190873105453647,1.888959224558553
W02000065,13.95329630825324,13.086129237621858,14.831774926224458,1.7456456886026004
W02000066,14.336849278209751,13.384393835855422,15.341910959697756,1.9575171238423348
W02000067,14.030603126294869,13.15467861047475,14.923190487743408,1.7685118772686579
W02000068,14.284204827974094,13.365473352605573,15.24678822833408,1.8813148757285063
W02000069,14.272583920163546,13.336847666181143,15.247353733530922,1.910506067349779
W02000070,13.995254021684728,13.111390188335067,14.90105972545417,1.789669537119103
W02000071,13.943277042676385,13.088938781790343,14.846530957612158,1.7575921758218147
W02000072,14.137285264256178,13.244566765971413,15.036458867783484,1.7918921018120706
W02000073,13.561010710894337,12.727673844698778,14.418298294853859,1.690624450155081
W02000074,13.504803571589024,12.663603809431876,14.35161580142153,1.6880119919896543
W02000075,14.333084405197948,13.375616276552545,15.323748576113191,1.9481322995606458
W02000076,14.494091216951889,13.458868674208897,15.532943181497021,2.074074507288124
W02000077,14.413365276388362,13.406213618965053,15.445988022153387,2.039774403188334
W02000080,13.882565318028792,13.027349720106308,14.741190632347507,1.7138409122411993
W02000081,13.627894615464331,12.796260903341404,14.484303956096575,1.6880430527551713
W02000082,13.55447627933756,12.724672471495378,14.405342240495836,1.680669769000458
W02000083,14.146682839923258,13.247011539863644,15.059442621760265,1.8124310818966212
W02000085,12.659543458592731,11.525510843298488,13.817598518420045,2.2920876751215573
W02000087,11.582793500765613,9.944588596985579,13.268521544475405,3.3239329474898263
W02000088,13.415549467533214,12.525789470313539,14.30501758831995,1.7792281180064116
W02000089,12.193834235913284,10.795577805740267,13.635692017863517,2.8401142121232503
W02000090,14.454610860962438,13.424504203126054,15.47381961587002,2.049315412743967
W02000091,14.07055417863037,13.188381233329098,14.947197732321916,1.7588164989928181
W02000092,14.22641188686118,13.302221239640026,15.203420481528966,1.9011992418889392
W02000093,14.514719323138076,13.46164820701857,15.575688069542538,2.1140398625239687
W02000094,14.186205136032312,13.276375078225715,15.110403427812113,1.8340283495863972
W02000095,14.51967855038693,13.457313772429751,15.584826085867844,2.1275123134380927
W02000096,14.463393387926478,13.403599432606715,15.50434473796971,2.100745305362995
W02000097,14.622205612451673,13.540345933107307,15.712890916338218,2.1725449832309103
W02000098,14.533985133958627,13.466633244726012,15.60151661566079,2.1348833709347783
W02000099,14.447225203051229,13.416987614381792,15.494848920791373,2.0778613064095808
W02000100,14.565876527429259,13.487950511638536,15.640373164500422,2.152422652861887
W02000101,14.565583677712356,13.494411896813816,15.64789043027042,2.153478533456605
W02000102,14.610673970819043,13.530838671855232,15.702231477646949,2.171392805791717
W02000103,14.53664251233256,13.462122752452933,15.609801317643829,2.147678565190896
W02000104,14.475457374374448,13.489267054993062,15.49959484578906,2.0103277907959978
W02000105,13.728399423944001,12.884399591026433,14.595182051267766,1.710782460241333
W02000106,14.56884834396091,13.490346683835572,15.661393024908378,2.171046341072806
W02000107,14.58319870718576,13.503931920799142,15.66815717745052,2.1642252566513793
W02000108,14.581139546415862,13.497282895191082,15.663844600115235,2.1665617049241526
W02000109,14.355483411485453,13.403142966498311,15.350218621661883,1.9470756551635713
W02000110,14.576894643987536,13.487645710136078,15.679077981527003,2.1914322713909247
W02000111,14.487507965415613,13.412783140616817,15.537317731211974,2.1245345905951574
W02000113,14.153688812092096,13.268932904182813,15.0637773122705,1.7948444080876857
W02000114,14.517699481550851,13.443058812075549,15.614928516792125,2.171869704716576
W02000116,14.479037694690652,13.397031928816386,15.523565223678633,2.126533294862247
W02000117,13.743319014093048,12.88865548708751,14.607877343394769,1.719221856307259
W02000118,13.850535409014244,12.999977237319554,14.725539519868937,1.725562282549383
W02000120,14.548143769199408,13.483292491182581,15.621367174526075,2.1380746833434934
W02000122,14.533920537165821,13.459699360800602,15.609380039338607,2.1496806785380045
W02000123,14.500545452747676,13.433244835328379,15.565893083329359,2.1326482480009794
W02000124,14.440942279385714,13.412985403005942,15.472755363317981,2.059769960312039
W02000125,14.496857512223563,13.419780633596586,15.558967232590952,2.1391865989943657
W02000126,14.573997259404798,13.499081725199911,15.656238164041056,2.1571564388411453
W02000127,14.496820161605278,13.43008502577964,15.580355711015295,2.1502706852356557
W02000128,14.619383650313404,13.540764435063322,15.712368338090004,2.171603903026682
W02000129,14.51696787133318,13.447896673344637,15.577740785527649,2.1298441121830116
W02000130,13.567232995732871,12.716734784415314,14.430043385064549,1.7133086006492348
W02000131,13.990516808967882,13.098167902571738,14.879984386517995,1.7818164839462565
W02000132,14.5048931632955,13.428978186960796,15.553325910058518,2.1243477230977224
W02000133,14.498528578171202,13.436055143422829,15.567756493089254,2.131701349666425
W02000134,14.417284275189237,13.40729935081724,15.447953236828106,2.0406538860108654
W02000135,14.054237260229295,13.17275504977434,14.944416196854478,1.7716611470801382
W02000136,14.480252340386736,13.44416575483419,15.518919110143615,2.0747533553094257
W02000137,13.857175504798809,12.994337570062356,14.737187076114157,1.742849506051801
W02000138,13.668157022444712,12.840850160157501,14.53314516207643,1.6922950019189287
W02000139,14.474703656447964,13.424823222917679,15.531026098041133,2.1062028751234543
