area_id,time_id,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width
W02000058,2021,0.04541634637244603,1.0520011750597963e-4,0.02440567147732782,0.06560026946065282,0.041194597983325004
W02000059,2021,0.04990154731651917,1.0266664107954619e-4,0.029181232255270098,0.07006261785013526,0.04088138559486516
W02000060,2021,0.05316519228623728,1.2096497760623327e-4,0.02920661939699877,0.0758453039944661,0.046638684597467325
W02000061,2021,0.05697543201930485,1.3078687657288153e-4,0.03333708665128306,0.0776830253460655,0.04434593869478244
W02000062,2021,0.048818908568913924,1.0452994096593043e-4,0.029990143637060547,0.06622491587864199,0.03623477224158144
W02000063,2021,0.04490357416346242,1.092963039771924e-4,0.025428418741830335,0.06539603002871071,0.039967611286880374
W02000064,2021,0.05656879046608458,1.6061255642593443e-4,0.03097322748685856,0.0828910182198743,0.05191779073301574
W02000065,2021,0.0537214664134035,1.3091833750542988e-4,0.03305554280502712,0.07681837857470876,0.04376283576968164
W02000066,2021,0.05529213483904558,1.2783132349535582e-4,0.03193307385892438,0.07792857542921154,0.04599550157028716
W02000067,2021,0.051018677373887836,1.2254790727475164e-4,0.029460998948354807,0.07163192976624383,0.04217093081788902
W02000068,2021,0.051835397907851535,1.2446872388534547e-4,0.030762361800365793,0.07218493480843832,0.04142257300807253
W02000069,2021,0.04756197904158175,1.1513870107811422e-4,0.0261582631260563,0.06763238547229197,0.041474122346235674
W02000070,2021,0.04908499857553347,1.1419289629981407e-4,0.02890272583568363,0.0684834707334055,0.03958074489772186
W02000071,2021,0.045650446790472456,1.1244532465443986e-4,0.022596812700452377,0.06488913185867054,0.04229231915821816
W02000072,2021,0.0568586715614273,1.2354820357190604e-4,0.03569276269116603,0.078766636114669,0.04307387342350297
W02000073,2021,0.048033015553608914,1.0276139564288891e-4,0.026310079423020005,0.06875576267052672,0.04244568324750671
W02000074,2021,0.0523734594180471,1.234285501868314e-4,0.028961934985599208,0.07226687271207252,0.043304937726473314
W02000075,2021,0.051176720923456494,1.1185447465902921e-4,0.03051783808868628,0.07218482042239105,0.04166698233370477
W02000076,2021,0.046369238755403074,1.202179420117575e-4,0.02122928274834779,0.0667391545538789,0.04550987180553111
W02000077,2021,0.04830381394153704,1.204386346224013e-4,0.029155313656452315,0.07025090408715493,0.041095590430702614
