area_id,time_id,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width
W02000123,2021,0.047404437137879875,9.595254233614495e-5,0.029442982646893618,0.06541240778140997,0.035969425134516356
W02000124,2021,0.04404143144032168,1.3046272453990455e-4,0.022166332348760656,0.06795751686994542,0.04579118452118476
W02000125,2021,0.039833192360599935,1.1268598235919045e-4,0.01885572582574712,0.059685239307441545,0.040829513481694425
W02000126,2021,0.04660391098292631,1.0993643801985818e-4,0.025253236034807863,0.06863133221911322,0.043378096184305354
W02000127,2021,0.0442862304196243,1.3519037248460358e-4,0.02262978380517236,0.06775268530150096,0.045122901496328596
W02000128,2021,0.04594931704273042,1.3337438083812293e-4,0.022058691470223196,0.07169028891162339,0.049631597441400194
W02000129,2021,0.04706395940367681,1.2645308778018737e-4,0.025087823318975303,0.07288968531725634,0.04780186199828104
W02000130,2021,0.05940080214505532,1.4006728192857777e-4,0.037373448351205,0.08337978886784074,0.04600634051663574
W02000131,2021,0.0524204926357034,1.2105365374285535e-4,0.03024390171336658,0.07307087716861255,0.04282697545524597
W02000132,2021,0.04674736447026552,1.16779974287576e-4,0.026374072999119903,0.0693026697547447,0.04292859675562479
W02000133,2021,0.0455292048968097,1.272504772714086e-4,0.025374999898721884,0.07292639473727432,0.04755139483855243
W02000134,2021,0.04740819855813464,1.0782952353627111e-4,0.027902997450768328,0.06874324303274232,0.040840245581973994
W02000135,2021,0.05261684738433468,1.4289800352124045e-4,0.02791481860230326,0.0755021811268536,0.04758736252455034
W02000136,2021,0.04120959389761361,1.3793596310061366e-4,0.018112916295673485,0.06618383693947397,0.04807092064380048
W02000137,2021,0.05510567787904593,1.3143973666317744e-4,0.03366745752121911,0.07755305159074592,0.043885594069526815
W02000138,2021,0.0555146452527787,1.5374773735631541e-4,0.031032695403218454,0.07900406371318122,0.047971368309962764
W02000139,2021,0.04257669602944115,1.3867783453786617e-4,0.018731011607755834,0.06819053584468285,0.04945952423692701
W02000140,2021,0.052526951462178895,1.899239668126397e-4,0.02690317325351324,0.0789497206546177,0.052046547401104454
W02000141,2021,0.04235432138272471,1.7987739175928061e-4,0.014574138923712981,0.07003034491031324,0.055456205986600254
W02000142,2021,0.04827649334801523,1.1394992780755309e-4,0.028965528104114308,0.0695092564234218,0.0405437283193075
W02000143,2021,0.04421516928034936,9.317119487389785e-5,0.025632633251725122,0.063076230081358,0.03744359682963288
W02000144,2021,0.044675252512730225,1.1664603937551661e-4,0.025143608942168008,0.0659164382359808,0.04077282929381279
W02000145,2021,0.044725682529985863,1.1496704777864741e-4,0.023010417548749176,0.067745627634327385,0.04473521008557821
W02000146,2021,0.045696349918878144,9.4357111056765e-5,0.02738009700533345,0.06404955623847917,0.036669459233145726
W02000147,2021,0.0564560668335007,1.073342587509094e-4,0.03717408589956096,0.07869885730287884,0.04152477140331788
W02000148,2021,0.0558663851196927,1.2265278412355773e-4,0.033181769871457864,0.07884547994476972,0.04566371007331185
W02000149,2021,0.04653068575341158,1.0482381775955007e-4,0.028434415690757178,0.06918684450349918,0.040752428812742006
W02000151,2021,0.05024386836358398,1.1340601208883047e-4,0.029300283512800472,0.07030148792663074,0.04100120441383027
W02000152,2021,0.04666300064740961,9.445086096490846e-5,0.02881955928343488,0.06674868476879707,0.03792912548536219
W02000153,2021,0.04621582302903466,1.004384512949014e-4,0.02661411073849325,0.06914097832014662,0.042526867581653374
W02000154,2021,0.049540154280384115,1.028358391608338e-4,0.029048404262164262,0.06798946433020518,0.03894106006804092
W02000156,2021,0.0518710757425887,9.921093284531921e-5,0.03378689586268363,0.07126919923528849,0.03748230337260486
