area_id,time_id,msoa_name,direct_estimate,variance,n,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width,fh_std_resid
W02000022,2021,Gwynedd 013,0.0212344945063327,4.957953341325928e-4,15,0.0413765322207346,3.56912245161692e-4,0.0042764632368048686,0.07837385115737405,0.07409738792056919,-0.689768477539024
W02000023,2021,Gwynedd 014,0,0,13,0.09015255932622913,0.0025504653549084325,-0.009594229163276222,0.18925066398916937,0.19884489315244558,-1.7851238241127316
W02000024,2021,Gwynedd 015,0,0,6,0.10269160683283353,0.0018640981470950996,0.018560443487092806,0.18838350463017625,0.16982306114308343,-2.3784857948563305
W02000025,2021,Gwynedd 016,0,0,12,0.10078644046998893,0.001539951673665711,0.024112784359827777,0.1782812378359655,0.15416845347613772,-2.568316614175939
W02000026,2021,Gwynedd 017,0,0,11,0.10322759730486487,0.0017067443537915892,0.02270549576286214,0.185064865660711,0.16235936989784888,-2.4986854135094894
W02000027,2021,Conwy 001,0,0,6,0.09321136775137592,0.0015728868843785553,0.01494233011828297,0.17064817217132233,0.15570584205303936,-2.3502828696531277
W02000028,2021,Conwy 002,0.08536254482339001,0.00687076517368526,11,0.0962363461523941,0.001290193979111582,0.02586652814734461,0.16686298064546448,0.14099645249811987,-0.12036792998208097
W02000029,2021,Conwy 003,0.04888062877624214,0.00236765824355765,13,0.06382071843341235,8.275071159539642e-4,0.007361367622099345,0.1202221123552781,0.11286074473317875,-0.26430570302486006
W02000030,2021,Conwy 004,0.29301465708004104,0.0284234309485235,9,0.062370312917412164,6.391323380000065e-4,0.012672185879831682,0.11183743943827205,0.09916525355844037,1.3529316336259574
W02000031,2021,Conwy 005,0.16280358842584405,0.02119865250217118,10,0.10917369880315603,0.0018519160960803174,0.02567472117849144,0.19476350785091381,0.1690887866724224,0.35323691381538297
W02000032,2021,Conwy 006,0,0,9,0.08341440429565039,0.001724162260662755,0.0020461523588902603,0.1651737925282321,0.16312764016934184,-2.0088707033969233
W02000033,2021,Conwy 007,0,0,12,0.11967629012904614,0.0015838316180255883,0.04197087793206268,0.19825653390090295,0.15628565596884025,-3.007139765600516
W02000034,2021,Conwy 008,0,0,9,0.09236943374358816,0.0018589634264975527,0.007930350531069372,0.17745070388460377,0.16952035335353438,-2.1423620100913268
W02000035,2021,Conwy 009,0.17850345132662307,0.0264125301482222,8,0.09511560201050753,0.0014459017026682514,0.020788980116913186,0.17014135984763465,0.14935237973072146,0.4996023123204251
