cell_id,domain_id,age_group,sex,car_access,economic_status,pop_count
W02000003_age_16_24_sex_male_no_car_access_econ_unemployed,W02000003,age_16_24,sex_male,no_car_access,econ_unemployed,4.225437456135752
W02000003_age_16_24_sex_male_no_car_access_econ_inactive,W02000003,age_16_24,sex_male,no_car_access,econ_inactive,36.33086410883076
W02000003_age_16_24_sex_male_car_access_econ_employed,W02000003,age_16_24,sex_male,car_access,econ_employed,88.33053872927489
W02000003_age_16_24_sex_male_car_access_econ_unemployed,W02000003,age_16_24,sex_male,car_access,econ_unemployed,8.992738005739689
W02000003_age_16_24_sex_male_car_access_econ_inactive,W02000003,age_16_24,sex_male,car_access,econ_inactive,77.32073799327583
W02000003_age_25_44_sex_female_no_car_access_econ_employed,W02000003,age_25_44,sex_female,no_car_access,econ_employed,94.45749617509608
W02000003_age_25_44_sex_female_no_car_access_econ_unemployed,W02000003,age_25_44,sex_female,no_car_access,econ_unemployed,9.616510076817583
W02000003_age_25_44_sex_female_no_car_access_econ_inactive,W02000003,age_25_44,sex_female,no_car_access,econ_inactive,82.6840118754409
W02000003_age_25_44_sex_female_car_access_econ_employed,W02000003,age_25_44,sex_female,car_access,econ_employed,201.02806504622131
W02000003_age_25_44_sex_female_car_access_econ_unemployed,W02000003,age_25_44,sex_female,car_access,econ_unemployed,20.46622546141359
W02000003_age_25_44_sex_female_car_access_econ_inactive,W02000003,age_25_44,sex_female,car_access,econ_inactive,175.97128434112616
W02000003_age_25_44_sex_male_no_car_access_econ_employed,W02000003,age_25_44,sex_male,no_car_access,econ_employed,88.61955794294339
W02000003_age_25_44_sex_male_no_car_access_econ_unemployed,W02000003,age_25_44,sex_male,no_car_access,econ_unemployed,9.022162416645996
W02000003_age_25_44_sex_male_no_car_access_econ_inactive,W02000003,age_25_44,sex_male,no_car_access,econ_inactive,77.57373292817118
W02000003_age_25_44_sex_male_car_access_econ_employed,W02000003,age_25_44,sex_male,car_access,econ_employed,188.60354106250776
W02000003_age_25_44_sex_male_car_access_econ_unemployed,W02000003,age_25_44,sex_male,car_access,econ_unemployed,19.201311982576907
W02000003_age_25_44_sex_male_car_access_econ_inactive,W02000003,age_25_44,sex_male,car_access,econ_inactive,165.09539274739024
W02000003_age_45_64_sex_female_no_car_access_econ_employed,W02000003,age_45_64,sex_female,no_car_access,econ_employed,98.46920450685693
W02000003_age_45_64_sex_female_no_car_access_econ_unemployed,W02000003,age_45_64,sex_female,no_car_access,econ_unemployed,10.024933284713311
W02000003_age_45_64_sex_female_no_car_access_econ_inactive,W02000003,age_45_64,sex_female,no_car_access,econ_inactive,86.19568805547894
W02000003_age_45_64_sex_female_car_access_econ_employed,W02000003,age_45_64,sex_female,car_access,econ_employed,209.56593653467087
W02000003_age_45_64_sex_female_car_access_econ_unemployed,W02000003,age_45_64,sex_female,car_access,econ_unemployed,21.335447392207215
W02000003_age_45_64_sex_female_car_access_econ_inactive,W02000003,age_45_64,sex_female,car_access,econ_inactive,183.44496823206202
W02000003_age_45_64_sex_male_no_car_access_econ_employed,W02000003,age_45_64,sex_male,no_car_access,econ_employed,92.38332295210314
W02000003_age_45_64_sex_male_no_car_access_econ_unemployed,W02000003,age_45_64,sex_male,no_car_access,econ_unemployed,9.40534305982401
W02000003_age_45_64_sex_male_no_car_access_econ_inactive,W02000003,age_45_64,sex_male,no_car_access,econ_inactive,80.86837023400085
W02000003_age_45_64_sex_male_car_access_econ_employed,W02000003,age_45_64,sex_male,car_access,econ_employed,196.61373006516254
W02000003_age_45_64_sex_male_car_access_econ_unemployed,W02000003,age_45_64,sex_male,car_access,econ_unemployed,20.01681171928867
W02000003_age_45_64_sex_male_car_access_econ_inactive,W02000003,age_45_64,sex_male,car_access,econ_inactive,172.10716618453807
W02000003_age_65_plus_sex_female_no_car_access_econ_employed,W02000003,age_65_plus,sex_female,no_car_access,econ_employed,70.89782724493699
W02000003_age_65_plus_sex_female_no_car_access_econ_unemployed,W02000003,age_65_plus,sex_female,no_car_access,econ_unemployed,7.217951964993585
W02000003_age_65_plus_sex_female_no_car_access_econ_inactive,W02000003,age_65_plus,sex_female,no_car_access,econ_inactive,62.06089539994484
W02000003_age_65_plus_sex_female_car_access_econ_employed,W02000003,age_65_plus,sex_female,car_access,econ_employed,150.88747430496304
W02000003_age_65_plus_sex_female_car_access_econ_unemployed,W02000003,age_65_plus,sex_female,car_access,econ_unemployed,15.361522122389196
W02000003_age_65_plus_sex_female_car_access_econ_inactive,W02000003,age_65_plus,sex_female,car_access,econ_inactive,132.0803771270847
W02000003_age_65_plus_sex_male_no_car_access_econ_employed,W02000003,age_65_plus,sex_male,no_car_access,econ_employed,66.51599252551426
W02000003_age_65_plus_sex_male_no_car_access_econ_unemployed,W02000003,age_65_plus,sex_male,no_car_access,econ_unemployed,6.7718470030732885
W02000003_age_65_plus_sex_male_no_car_access_econ_inactive,W02000003,age_65_plus,sex_male,no_car_access,econ_inactive,58.22522656848061
W02000003_age_65_plus_sex_male_car_access_econ_employed,W02000003,age_65_plus,sex_male,car_access,econ_employed,141.561885646917
W02000003_age_65_plus_sex_male_car_access_econ_unemployed,W02000003,age_65_plus,sex_male,car_access,econ_unemployed,14.412104437887841
W02000003_age_65_plus_sex_male_car_access_econ_inactive,W02000003,age_65_plus,sex_male,car_access,econ_inactive,123.91715965286741
W02000004_age_16_24_sex_female_no_car_access_econ_employed,W02000004,age_16_24,sex_female,no_car_access,econ_employed,6.090657969099088
W02000004_age_16_24_sex_female_no_car_access_econ_unemployed,W02000004,age_16_24,sex_female,no_car_access,econ_unemployed,0.33056219721792257
W02000004_age_16_24_sex_female_no_car_access_econ_inactive,W02000004,age_16_24,sex_female,no_car_access,econ_inactive,6.039193195879531
W02000004_age_16_24_sex_female_car_access_econ_employed,W02000004,age_16_24,sex_female,car_access,econ_employed,57.71714996584751
W02000004_age_16_24_sex_female_car_access_econ_unemployed,W02000004,age_16_24,sex_female,car_access,econ_unemployed,3.1325200013963386
W02000004_age_16_24_sex_female_car_access_econ_inactive,W02000004,age_16_24,sex_female,car_access,econ_inactive,57.229452241079215
W02000004_age_16_24_sex_male_no_car_access_econ_employed,W02000004,age_16_24,sex_male,no_car_access,econ_employed,5.809204273669371
W02000004_age_16_24_sex_male_no_car_access_econ_unemployed,W02000004,age_16_24,sex_male,no_car_access,econ_unemployed,0.3152866797864104
W02000004_age_16_24_sex_male_no_car_access_econ_inactive,W02000004,age_16_24,sex_male,no_car_access,econ_inactive,5.760117724720588
W02000004_age_16_24_sex_male_car_access_econ_employed,W02000004,age_16_24,sex_male,car_access,econ_employed,55.04999885836842
W02000004_age_16_24_sex_male_car_access_econ_unemployed,W02000004,age_16_24,sex_male,car_access,econ_unemployed,2.9877639939380973
W02000004_age_16_24_sex_male_car_access_econ_inactive,W02000004,age_16_24,sex_male,car_access,econ_inactive,54.584837997036736
W02000004_age_25_44_sex_female_no_car_access_econ_employed,W02000004,age_25_44,sex_female,no_car_access,econ_employed,11.352774912011034
W02000004_age_25_44_sex_female_no_car_access_econ_unemployed,W02000004,age_25_44,sex_female,no_car_access,econ_unemployed,0.6161564544380379
W02000004_age_25_44_sex_female_no_car_access_econ_inactive,W02000004,age_25_44,sex_female,no_car_access,econ_inactive,11.256846362218285
W02000004_age_25_44_sex_female_car_access_econ_employed,W02000004,age_25_44,sex_female,car_access,econ_employed,107.58276288858406
W02000004_age_25_44_sex_female_car_access_econ_unemployed,W02000004,age_25_44,sex_female,car_access,econ_unemployed,5.838908483065823
W02000004_age_25_44_sex_female_car_access_econ_inactive,W02000004,age_25_44,sex_female,car_access,econ_inactive,106.67371126846602
W02000004_age_25_44_sex_male_no_car_access_econ_employed,W02000004,age_25_44,sex_male,no_car_access,econ_employed,10.828154999256366
W02000004_age_25_44_sex_male_no_car_access_econ_unemployed,W02000004,age_25_44,sex_male,no_car_access,econ_unemployed,0.5876834204991268
W02000004_age_25_44_sex_male_no_car_access_econ_inactive,W02000004,age_25_44,sex_male,no_car_access,econ_inactive,10.736659376903209
W02000004_age_25_44_sex_male_car_access_econ_employed,W02000004,age_25_44,sex_male,car_access,econ_employed,102.61128586046095
W02000004_age_25_44_sex_male_car_access_econ_unemployed,W02000004,age_25_44,sex_male,car_access,econ_unemployed,5.569088312868696
W02000004_age_25_44_sex_male_car_access_econ_inactive,W02000004,age_25_44,sex_male,car_access,econ_inactive,101.7442421710323
W02000004_age_45_64_sex_female_no_car_access_econ_employed,W02000004,age_45_64,sex_female,no_car_access,econ_employed,19.19747186208077
W02000004_age_45_64_sex_female_no_car_access_econ_unemployed,W02000004,age_45_64,sex_female,no_car_access,econ_unemployed,1.041916737395999
W02000004_age_45_64_sex_female_no_car_access_econ_inactive,W02000004,age_45_64,sex_female,no_car_access,econ_inactive,19.035257280210736
W02000004_age_45_64_sex_female_car_access_econ_employed,W02000004,age_45_64,sex_female,car_access,econ_employed,181.9217838286771
W02000004_age_45_64_sex_female_car_access_econ_unemployed,W02000004,age_45_64,sex_female,car_access,econ_unemployed,9.87355797835199
W02000004_age_45_64_sex_female_car_access_econ_inactive,W02000004,age_45_64,sex_female,car_access,econ_inactive,180.38458318534086
W02000004_age_45_64_sex_male_no_car_access_econ_employed,W02000004,age_45_64,sex_male,no_car_access,econ_employed,18.3103428481214
W02000004_age_45_64_sex_male_no_car_access_econ_unemployed,W02000004,age_45_64,sex_male,no_car_access,econ_unemployed,0.9937690138564427
W02000004_age_45_64_sex_male_no_car_access_econ_inactive,W02000004,age_45_64,sex_male,no_car_access,econ_inactive,18.155624319018003
W02000004_age_45_64_sex_male_car_access_econ_employed,W02000004,age_45_64,sex_male,car_access,econ_employed,173.51504705286024
W02000004_age_45_64_sex_male_car_access_econ_unemployed,W02000004,age_45_64,sex_male,car_access,econ_unemployed,9.417293746450328
W02000004_age_45_64_sex_male_car_access_econ_inactive,W02000004,age_45_64,sex_male,car_access,econ_inactive,172.0488815594009
W02000004_age_65_plus_sex_female_no_car_access_econ_employed,W02000004,age_65_plus,sex_female,no_car_access,econ_employed,19.55004251152211
W02000004_age_65_plus_sex_female_no_car_access_econ_unemployed,W02000004,age_65_plus,sex_female,no_car_access,econ_unemployed,1.0610520310120872
W02000004_age_65_plus_sex_female_no_car_access_econ_inactive,W02000004,age_65_plus,sex_female,no_car_access,econ_inactive,19.38484878214298
W02000004_age_65_plus_sex_female_car_access_econ_employed,W02000004,age_65_plus,sex_female,car_access,econ_employed,185.2628634214903
W02000004_age_65_plus_sex_female_car_access_econ_unemployed,W02000004,age_65_plus,sex_female,car_access,econ_unemployed,10.054890539937887
W02000004_age_65_plus_sex_female_car_access_econ_inactive,W02000004,age_65_plus,sex_female,car_access,econ_inactive,183.69743136138018
W02000004_age_65_plus_sex_male_no_car_access_econ_employed,W02000004,age_65_plus,sex_male,no_car_access,econ_employed,18.64662095368837
W02000004_age_65_plus_sex_male_no_car_access_econ_unemployed,W02000004,age_65_plus,sex_male,no_car_access,econ_unemployed,1.0120200517601423
W02000004_age_65_plus_sex_male_no_car_access_econ_inactive,W02000004,age_65_plus,sex_male,no_car_access,econ_inactive,18.489060945629905
W02000004_age_65_plus_sex_male_car_access_econ_employed,W02000004,age_65_plus,sex_male,car_access,econ_employed,176.70173294914784
W02000004_age_65_plus_sex_male_car_access_econ_unemployed,W02000004,age_65_plus,sex_male,car_access,econ_unemployed,9.590246799645007
W02000004_age_65_plus_sex_male_car_access_econ_inactive,W02000004,age_65_plus,sex_male,car_access,econ_inactive,175.20864063303543
W02000005_age_16_24_sex_female_no_car_access_econ_employed,W02000005,age_16_24,sex_female,no_car_access,econ_employed,5.81512755938569
W02000005_age_16_24_sex_female_no_car_access_econ_unemployed,W02000005,age_16_24,sex_female,no_car_access,econ_unemployed,0.28884236231538735
W02000005_age_16_24_sex_female_no_car_access_econ_inactive,W02000005,age_16_24,sex_female,no_car_access,econ_inactive,6.194450661703488
W02000005_age_16_24_sex_female_car_access_econ_employed,W02000005,age_16_24,sex_female,car_access,econ_employed,46.57627109322696
W02000005_age_16_24_sex_female_car_access_econ_unemployed,W02000005,age_16_24,sex_female,car_access,econ_unemployed,2.3134832440082804
W02000005_age_16_24_sex_female_car_access_econ_inactive,W02000005,age_16_24,sex_female,car_access,econ_inactive,49.61445993174385
W02000005_age_16_24_sex_male_no_car_access_econ_employed,W02000005,age_16_24,sex_male,no_car_access,econ_employed,5.377621500082851
W02000005_age_16_24_sex_male_no_car_access_econ_unemployed,W02000005,age_16_24,sex_male,no_car_access,econ_unemployed,0.267111061943074
W02000005_age_16_24_sex_male_no_car_access_econ_inactive,W02000005,age_16_24,sex_male,no_car_access,econ_inactive,5.728405906730984
W02000005_age_16_24_sex_male_car_access_econ_employed,W02000005,age_16_24,sex_male,car_access,econ_employed,43.07206579163748
W02000005_age_16_24_sex_male_car_access_econ_unemployed,W02000005,age_16_24,sex_male,car_access,econ_unemployed,2.1394263678670917
W02000005_age_16_24_sex_male_car_access_econ_inactive,W02000005,age_16_24,sex_male,car_access,econ_inactive,45.88167391329426
W02000005_age_25_44_sex_female_no_car_access_econ_employed,W02000005,age_25_44,sex_female,no_car_access,econ_employed,12.367383964327315
W02000005_age_25_44_sex_female_no_car_access_econ_unemployed,W02000005,age_25_44,sex_female,no_car_access,econ_unemployed,0.6142985452059647
W02000005_age_25_44_sex_female_no_car_access_econ_inactive,W02000005,age_25_44,sex_female,no_car_access,econ_inactive,13.17411337911587
W02000005_age_25_44_sex_female_car_access_econ_employed,W02000005,age_25_44,sex_female,car_access,econ_employed,99.0565765503841
W02000005_age_25_44_sex_female_car_access_econ_unemployed,W02000005,age_25_44,sex_female,car_access,econ_unemployed,4.920224927397893
W02000005_age_25_44_sex_female_car_access_econ_inactive,W02000005,age_25_44,sex_female,car_access,econ_inactive,105.51807675624397
W02000005_age_25_44_sex_male_no_car_access_econ_employed,W02000005,age_25_44,sex_male,no_car_access,econ_employed,11.436913331162122
W02000005_age_25_44_sex_male_no_car_access_econ_unemployed,W02000005,age_25_44,sex_male,no_car_access,econ_unemployed,0.5680812725831574
W02000005_age_25_44_sex_male_no_car_access_econ_inactive,W02000005,age_25_44,sex_male,no_car_access,econ_inactive,12.182947773470124
W02000005_age_25_44_sex_male_car_access_econ_employed,W02000005,age_25_44,sex_male,car_access,econ_employed,91.60397090897548
W02000005_age_25_44_sex_male_car_access_econ_unemployed,W02000005,age_25_44,sex_male,car_access,econ_unemployed,4.550047627435646
