cell_id,domain_id,age_group,sex,car_access,pop_count
W02000006_age_65_plus_sex_female_car_access,W02000006,age_65_plus,sex_female,car_access,293.2899830656747
W02000006_age_65_plus_sex_male_no_car_access,W02000006,age_65_plus,sex_male,no_car_access,59.77635385224893
W02000006_age_65_plus_sex_male_car_access,W02000006,age_65_plus,sex_male,car_access,282.3335131100571
W02000007_age_16_24_sex_female_no_car_access,W02000007,age_16_24,sex_female,no_car_access,15.246918122027452
W02000007_age_16_24_sex_female_car_access,W02000007,age_16_24,sex_female,car_access,128.08404507071268
W02000007_age_16_24_sex_male_no_car_access,W02000007,age_16_24,sex_male,no_car_access,14.733758869774388
W02000007_age_16_24_sex_male_car_access,W02000007,age_16_24,sex_male,car_access,123.77317304608516
W02000007_age_25_44_sex_female_no_car_access,W02000007,age_25_44,sex_female,no_car_access,36.536822085102365
W02000007_age_25_44_sex_female_car_access,W02000007,age_25_44,sex_female,car_access,306.9331080048176
W02000007_age_25_44_sex_male_no_car_access,W02000007,age_25_44,sex_male,no_car_access,35.3071172915935
W02000007_age_25_44_sex_male_car_access,W02000007,age_25_44,sex_male,car_access,296.60278662872844
W02000007_age_45_64_sex_female_no_car_access,W02000007,age_45_64,sex_female,no_car_access,43.34680228289815
W02000007_age_45_64_sex_female_car_access,W02000007,age_45_64,sex_female,car_access,364.14137813548643
W02000007_age_45_64_sex_male_no_car_access,W02000007,age_45_64,sex_male,no_car_access,41.88789678678236
W02000007_age_45_64_sex_male_car_access,W02000007,age_45_64,sex_male,car_access,351.88562154108047
W02000007_age_65_plus_sex_female_no_car_access,W02000007,age_65_plus,sex_female,no_car_access,36.490337578632776
W02000007_age_65_plus_sex_female_car_access,W02000007,age_65_plus,sex_female,car_access,306.54260786740696
W02000007_age_65_plus_sex_male_no_car_access,W02000007,age_65_plus,sex_male,no_car_access,35.262197295039314
W02000007_age_65_plus_sex_male_car_access,W02000007,age_65_plus,sex_male,car_access,296.2254293938319
W02000008_age_16_24_sex_female_no_car_access,W02000008,age_16_24,sex_female,no_car_access,15.74639026625563
W02000008_age_16_24_sex_female_car_access,W02000008,age_16_24,sex_female,car_access,96.21894514881653
W02000008_age_16_24_sex_male_no_car_access,W02000008,age_16_24,sex_male,no_car_access,14.574708040037969
W02000008_age_16_24_sex_male_car_access,W02000008,age_16_24,sex_male,car_access,89.05933421894666
W02000008_age_25_44_sex_female_no_car_access,W02000008,age_25_44,sex_female,no_car_access,36.86541459794875
W02000008_age_25_44_sex_female_car_access,W02000008,age_25_44,sex_female,car_access,225.26758483116754
W02000008_age_25_44_sex_male_no_car_access,W02000008,age_25_44,sex_male,no_car_access,34.12227472168598
W02000008_age_25_44_sex_male_car_access,W02000008,age_25_44,sex_male,car_access,208.50551931477526
W02000008_age_45_64_sex_female_no_car_access,W02000008,age_45_64,sex_female,no_car_access,45.724545237765895
W02000008_age_45_64_sex_female_car_access,W02000008,age_45_64,sex_female,car_access,279.4016556045489
W02000008_age_45_64_sex_male_no_car_access,W02000008,age_45_64,sex_male,no_car_access,42.32220120519192
W02000008_age_45_64_sex_male_car_access,W02000008,age_45_64,sex_male,car_access,258.6114968245275
W02000008_age_65_plus_sex_female_no_car_access,W02000008,age_65_plus,sex_female,no_car_access,48.610907155899866
W02000008_age_65_plus_sex_female_car_access,W02000008,age_65_plus,sex_female,car_access,297.0388851145861
W02000008_age_65_plus_sex_male_no_car_access,W02000008,age_65_plus,sex_male,no_car_access,44.99379015626966
W02000008_age_65_plus_sex_male_car_access,W02000008,age_65_plus,sex_male,car_access,274.93634756157576
W02000009_age_16_24_sex_female_no_car_access,W02000009,age_16_24,sex_female,no_car_access,12.441999881385259
W02000009_age_16_24_sex_female_car_access,W02000009,age_16_24,sex_female,car_access,131.67783207799397
W02000009_age_16_24_sex_male_no_car_access,W02000009,age_16_24,sex_male,no_car_access,12.355554224641141
W02000009_age_16_24_sex_male_car_access,W02000009,age_16_24,sex_male,car_access,130.76294887745206
W02000009_age_25_44_sex_female_no_car_access,W02000009,age_25_44,sex_female,no_car_access,27.009079632318407
W02000009_age_25_44_sex_female_car_access,W02000009,age_25_44,sex_female,car_access,285.8460927753698
W02000009_age_25_44_sex_male_no_car_access,W02000009,age_25_44,sex_male,no_car_access,26.8214234959152
W02000009_age_25_44_sex_male_car_access,W02000009,age_25_44,sex_male,car_access,283.8600653317692
W02000009_age_45_64_sex_female_no_car_access,W02000009,age_45_64,sex_female,no_car_access,40.2051401125755
W02000009_age_45_64_sex_female_car_access,W02000009,age_45_64,sex_female,car_access,425.50439952475733
W02000009_age_45_64_sex_male_no_car_access,W02000009,age_45_64,sex_male,no_car_access,39.92579918871641
W02000009_age_45_64_sex_male_car_access,W02000009,age_45_64,sex_male,car_access,422.5480414139153
W02000009_age_65_plus_sex_female_no_car_access,W02000009,age_65_plus,sex_female,no_car_access,36.040669077896965
W02000009_age_65_plus_sex_female_car_access,W02000009,age_65_plus,sex_female,car_access,381.43041440774283
W02000009_age_65_plus_sex_male_no_car_access,W02000009,age_65_plus,sex_male,no_car_access,35.79026244410511
W02000009_age_65_plus_sex_male_car_access,W02000009,age_65_plus,sex_male,car_access,378.78027753344577
W02000010_age_16_24_sex_female_no_car_access,W02000010,age_16_24,sex_female,no_car_access,230.65273025549516
W02000010_age_16_24_sex_female_car_access,W02000010,age_16_24,sex_female,car_access,367.0889310039287
W02000010_age_16_24_sex_male_no_car_access,W02000010,age_16_24,sex_male,no_car_access,216.08136847451627
