area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000016,Gwynedd 007,2023,4,0,0,0,0.15855951479308047,7.75919273361843e-4,0.10876302697013221,0.21662035595239687,0.10785732898226466
W02000016,Gwynedd 007,2025,15,0.20830430827077637,0.01267070058304612,0.44124358134307945,0.15442657297424517,6.783099456135294e-4,0.1060097334321603,0.20515597561692245,0.09914624218476215
W02000017,Gwynedd 008,2021,7,0.29622405171495725,0.05123598044056675,0.8872900517876366,0.12799031060448354,5.683984417756299e-4,0.08662788511378543,0.1813364995190506,0.09470861440526517
W02000017,Gwynedd 008,2023,3,0.1677875833576799,0.03069489913364147,0.6867698043077999,0.15474367693040725,7.888591246242333e-4,0.10299298233503616,0.21324393439577433,0.11025095206073816
W02000017,Gwynedd 008,2025,18,0.1119440814703882,0.00666077787564505,0.31991938936601483,0.15068899009377737,7.063095484299691e-4,0.10317902697415289,0.2105567528365123,0.1073777258623594
W02000018,Gwynedd 009,2021,9,0.16517724306715606,0.02220608790766266,0.5841361905103974,0.1332902126753764,4.261348951586414e-4,0.09473062642947899,0.178232914347848,0.083502287918369
W02000018,Gwynedd 009,2023,3,0.3894890347740432,0.09116285542589674,1.1835511904357565,0.16105303239377466,6.87238902112044e-4,0.11552971130349018,0.2145111637888721,0.09898145248538193
W02000018,Gwynedd 009,2025,25,0.16004840997875117,0.00864622769984785,0.3644948705444859,0.15677872542917265,5.496729388869038e-4,0.11196467586577287,0.2030710719241755,0.09110639605840264
W02000019,Gwynedd 010,2021,9,0.14870638382979637,0.01897832148608475,0.5400164459521175,0.12664705584542293,4.3149322553172976e-4,0.09190470905529535,0.17457742886861755,0.08267271981332219
W02000019,Gwynedd 010,2023,5,0.186320668723806,0.02948498924564126,0.6730984237561102,0.15316300963491083,6.190190916205882e-4,0.10910504097674067,0.21142744990532641,0.10232240892858574
W02000019,Gwynedd 010,2025,21,0.19330514598470397,0.00937429785394132,0.37953118016224635,0.1491298255126449,5.229988580566238e-4,0.10835668853049005,0.19831311077371333,0.08995642224322328
W02000020,Gwynedd 011,2021,10,0.09952226276588916,0.00931368695508842,0.37830223317769723,0.1208332309238982,4.927901453109805e-4,0.08122904349745239,0.17231752243850101,0.09108847894104863
W02000020,Gwynedd 011,2023,9,0.1307567077994757,0.01491441663403652,0.4787196145316243,0.14663950903225484,7.807210071401899e-4,0.09687992879771709,0.20640995763833225,0.10953002884061516
W02000020,Gwynedd 011,2025,19,0.0970039934039527,0.00373142301720894,0.2394502692685758,0.1426533347651617,6.599884122417938e-4,0.09494742718255399,0.20007153540694583,0.10512410822439185
W02000021,Gwynedd 012,2021,15,0.04884539924695608,0.00236761286709421,0.19073633458036207,0.1372557172457387,8.743435363944074e-4,0.07978766084271521,0.19333239467422375,0.11354473383150854
W02000021,Gwynedd 012,2023,3,0.4465195232973333,0.09508480775803044,1.2087421122408055,0.16548108639950204,0.0012782957296670566,0.0984762679334037,0.23717827093045843,0.13870200299705474
W02000021,Gwynedd 012,2025,16,0.3973343698625338,0.02559915894294447,0.6271781722085835,0.16121619553739325,0.0011541029970642091,0.09390756445079114,0.22745702203397494,0.13354945758318382
W02000022,Gwynedd 013,2021,15,0.0212344945063327,4.957953341325928e-4,0.08728292753024817,0.11655291244508832,4.676968756321408e-4,0.07975807454695275,0.160484604378613,0.08072652983166026
W02000022,Gwynedd 013,2023,3,0,0,0,0.14142005123932536,6.848639443892485e-4,0.09407583956874724,0.19726316862694177,0.10318732905819453
W02000022,Gwynedd 013,2025,21,0.08936955803134836,0.00312838394597555,0.21924924723962602,0.13757457965321104,5.813701699819915e-4,0.09232745115251483,0.18619464779081038,0.09386719663829556
