area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,bhf_estimate,bhf_variance,bhf_ci_width,fh_estimate,fh_variance,fh_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width,mrp_minus_bhf
W02000009,Isle of Anglesey 009,2023,10,0,0,0,0.1359669683333344,9.477850121361772e-4,0.12107458464372844,0.1668219846141431,0.00168798081257337,0.16140604527191338,0.13397067460039996,0.0010883914375462867,0.07926376321342338,0.21620110707464574,0.13693734386122236,-0.0019962937329344455
W02000009,Isle of Anglesey 009,2025,26,0.1991126105754353,0.00777268370258454,0.3455919233417288,0.1359664452089221,0.00191560510315568,0.17430879553927714,0.10500891620588004,0.00162193632543205,0.15822377514282104,0.13535052345382181,0.0016010338779112489,0.07002171887567236,0.23213954568532127,0.16211782680964892,-6.159217551002794e-4
W02000010,Gwynedd 001,2021,12,0.09295304405275805,0.00810245734821603,0.35284702775906945,0.1849969404924789,0.00204256731736135,0.17814371682119295,0.18510079726075132,0.00187450608797278,0.1698594752677931,0.1861731605135245,0.004555965993883263,0.0818699973056074,0.3333209768899543,0.2514509795843469,0.0011762200210456153
W02000010,Gwynedd 001,2023,3,0.8613292132743351,0.02163078010589764,0.576519734393526,0.21690024905817484,0.00208481836826127,0.1800302892666961,0.2418366570915236,0.0019272016249545,0.1722287140174955,0.220178893986713,0.005417686815472171,0.10738989016204653,0.37774463657180923,0.2703547464097627,0.0032786449285381603
W02000010,Gwynedd 001,2025,14,0.11246581789895128,0.0085270076871056,0.36197319731581457,0.2169023112932174,0.00306223038002655,0.2194217282759921,0.1800227086514399,0.001863095022524,0.16934160508979051,0.22000189835140435,0.005907062887410753,0.11108438283806948,0.39641113161748776,0.28532674877941827,0.0030995870581869422
W02000011,Gwynedd 002,2021,18,0.12433733047748036,0.0053721902964639,0.287312010196571,0.1369489373333505,0.00109660249775854,0.13059575555398542,0.06163183106252006,5.22656801523329e-4,0.0896711472880746,0.12943027101232818,0.001279889122666794,0.0691074799650221,0.20456918419828468,0.1354617042332626,-0.007518666321022327
W02000011,Gwynedd 002,2023,7,0,0,0,0.1688523757365216,0.00113619621426547,0.13293385408943792,0.11836789762711888,5.811065511237694e-4,0.0945455220060189,0.15800221330278513,0.0017135811907007313,0.09122135790301214,0.24202687928692268,0.15080552138391054,-0.01085016243373646
W02000011,Gwynedd 002,2025,17,0.03567060536421822,6.96335312213858e-4,0.10343971050355316,0.16885024895813155,0.00210587970630602,0.18238637782410136,0.05655354939881964,4.804347439798942e-4,0.08597349752919897,0.15932992884595143,0.002094219688262956,0.08667652740390118,0.25776713954429153,0.17109061214039034,-0.009520320112180125
W02000012,Gwynedd 003,2021,13,0,0,0,0.11736766979447198,9.37408711430658e-4,0.12082392769961436,0.10015850858747036,0.00168294334446989,0.16115466012345936,0.1146345299170125,7.325125776951101e-4,0.06863560753591177,0.17540250368212534,0.10676689614621357,-0.0027331398774594756
W02000012,Gwynedd 003,2023,5,0.4428703168015301,0.05179742526544381,0.8921382766705703,0.14927119385692905,9.7584685103368e-4,0.12322532205002074,0.1568940013070213,0.00172672868227416,0.16322911204225313,0.1413873746355994,0.0010461832752074465,0.08665958310482569,0.21049359290722797,0.12383400980240228,-0.007883819221329663
W02000012,Gwynedd 003,2025,15,0.09898799288222276,0.00867530018479925,0.36510715367993785,0.14926866958508725,0.0019429080946591,0.1754192316419696,0.0950809680824417,0.00165460723638681,0.15979520145940845,0.1428710993448436,0.0015333647655864596,0.08131577159627723,0.2333767263908994,0.15206095479462217,-0.00639757024024365
W02000013,Gwynedd 004,2021,15,0.06754144696914653,0.00432395742111153,0.2577619395925993,0.11475768272719963,0.00110776187981123,0.1313236718194264,0.09113246877473524,0.00131739037984764,0.14248396704583957,0.11399851581793226,9.27234304243705e-4,0.06513661069836768,0.19450965474262627,0.1293730440442586,-7.591669092673753e-4
